
locality,home_type,subtype,price,type_of_sale,room,area,equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_land_area,facades,swimming_pool,state_of_building
 Rue des viaducs,Appartement,,181000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,181000,,,,,0,,,,,,,,0, Bien neuf
 Koningin Astridlaan 24,Appartement,,182000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,183500,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,183500,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,185000,,,,,,,,,,,,,0,
 Brusselsesteenweg 40,Duplex,,185000,,,,,0,,,,,, 1.66 are,,0,
 Elisalaan 12,Rez-de-chaussée,,185000,,1,,,0,,,,,, 0.42 are,,0,
 Rue des viaducs,Appartement,,185300,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,186000,,,,,0,,,,,,,,0, Bien neuf
 Rue du Bornoville 62,Maison,,189000,,,,,0,,,,,, 2.2 ares,,0, Bien neuf
 Koningin Astridlaan 14,Appartement,,189000,,,,,0,,,,,,,,0,
 Rue des Campagnes 36,Maison,,189000,,,,,0,,,,,,,,0,
 Buizemontstraat 127,Maison,,189000,,,,,0,,,,,, 1.7 are,,0,
 Vuldersstraat 48,Maison,,189000,,,,,0,,,,,, 1.91 are,,0, Besoin de travaux
 Rue des viaducs,Appartement,,190000,,,,,0,,,,,,,,0, Bien neuf
 Maalse Steenweg 164,Appartement,,190000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,190500,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,191000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,191000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,191000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,192200,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,192300,,,,,0,,,,,,,,0, Bien neuf
 Route de Gosselies 25,Appartement,,194000,,,,,0,,,,,,,,0,
 Route de Gosselies 25,Appartement,,194000,,,,,0,,,,,,,,0,
 Route de Gosselies 25,Appartement,,194000,,,,,0,,,,,,,,0,
 Priestersstraat 2,Appartement,,195000,,,,,0,,,,,, 0.75 are,,0, Bien neuf
 Dageraadsstraat 17,Appartement,,195000,,,,,0,,,,,,,,0,
 Rue du Noir Chien 6,Maison,,195000,,,,,0,,,,,,,,0,
,Maison,,195000,,,,,,,,,,, 6.8 ares,,0, Besoin de travaux
 Diksmuidelaan 2A,Appartement,,195000,,1,,,0,,,,,,,,0,
 Dreef 9,Immeuble,,195000,,,,,0,,,,,, 4.24 ares,,0, Bien neuf
 Barchonstraat 10,Appartement,,195000,,1,,,0,,,,,,,,0,
 Albert I Laan  45,Appartement,,195000,,,,,0,,,,,, 2.94 ares,,0,
 Albert I Laan 90,Appartement,,195000,,,,,0,,,,,, 0.78 are,,0,
 Weverijstraat 120,Maison,,195000,,,,,0,,,,,, 1.5 are,,0,
 Bassevillestraat 195,Maison,,195500,,,,,0,,,,,, 1.1 are,,0,
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,196000,,,,,0,,,,,,,,0, Bien neuf
 Steenbakkersstraat 15,Maison,,198000,,,,,0,,,,,, 7.69 ares,,0,
 Artoisstraat 6,Appartement,,198000,,,,,0,,,,,,,,0,
 Rue Jean Baptiste Faux 27,Maison,,199000,,,,,0,,,,,, 6.11 ares,,0,
 Bosstraat 124,Maison,,200000,,,,,0,,,,,, 5.53 ares,,0,
,Duplex,,200000,,,,,,,,,,, 1.3 are,,0,
 Vissenakenstraat 45,Maison,,209000,,,,,0,,,,,, 2.34 ares,,0,
,Appartement,,209800,,,,,,,,,,,,,0, Bien neuf
 Weststraat 126,Duplex,,210000,,,,,,,,,,,,,0,
 Perronstraat 7,Appartement,,210000,,1,,,0,,,,,,,,0,
 Brusselsesteenweg 40,Appartement,,210000,,,,,0,,,,,, 1.66 are,,0,
,Appartement,,212300,,,,,,,,,,,,,0, Bien neuf
 Opgeëistenstraat 135,Maison,,215000,,,,,0,,,,,, 0.83 are,,0, Bien neuf
 Opgeëistenstraat 135,Maison,,215000,,,,,0,,,,,, 0.83 are,,0, Bien neuf
 Wiekevorstse Steenweg 10,Maison,,215000,,,,,0,,,,,,,,0,
,Appartement,,215000,,,,,0,,,,,,,,0,
,Appartement,,215000,,,,,,,,,,, 1.49 are,,0,
 Rue Joseph Halkin 32,Maison,,215000,,,,,0,,,,,, 2.56 ares,,0,
 Helihavenlaan 48,Appartement,,215000,,,,,0,,,,,,,,0,
 Rue des viaducs,Appartement,,217500,,,,,0,,,,,,,,0, Bien neuf
 Rue des viaducs,Appartement,,218500,,1,,,0,,,,,,,,0, Bien neuf
 Vlierzeledorp 5,Duplex,,220000,,,,,0,,,,,,,,0,
 Louis Mettewielaan 62,Appartement,,220000,,,,,0,,,,,,,,0,
 Runkstersteenweg 293,Maison,,223000,,,,,0,,,,,,,,0,
 Route de Forrières,Maison,,225000,,,,,0,,,,,,,,0, Bien neuf
 Rue Henri Evenepoel 109,Appartement,,225000,,1,,,0,,,,,,,,0,
,Maison,,225000,,,,,,,,,,, 10 ares,,0,
 Rue Fernand Lacroix,Maison,,225000,,,,,0,,,,,, 4.1 ares,,0,
 Lombardsijdelaan 171,Maison,,225000,,,,,0,,,,,, 2.45 ares,,0,
 Lombardsijdelaan 171,Maison,,225000,,,,,0,,,,,, 2.45 ares,,0,
,Maison,,227500,,,,,0,,,,,,,,0,
 Zeelandstraat 87,Appartement,,227500,,,,,0,,,,,, 1.21 are,,0,
 Van Geertstraat 29,Rez-de-chaussée,,229000,,1,,,0,,,,1, 0.5 are,,,0, Rénové
 Bulskampstraat 66,Maison,,229000,,,,,0,,,,,, 1.76 are,,0, Bien neuf
 Doornikseweg 16,Maison,,229500,,,,,0,,,,,, 6.51 ares,,0, Bien neuf
 Rue Fernand Lacroix,Maison,,229500,,,,,0,,,,,, 4.3 ares,,0,
 Avenue de Septembre 8A,Appartement,,230000,,1,,,0,,,,,,,,0,
 Heinsberg 15,Maison,,230000,,,,,0,,,,,, 3.23 ares,,0, Bien neuf
 Heinsberg 15,Maison,,230000,,,,,0,,,,,, 3.23 ares,,0, Bien neuf
 Hector Denisstraat 24,Maison,,235000,,,,,0,,,,,, 1.7 are,,0, Bien neuf
 Hector Denisstraat 24,Maison,,235000,,,,,0,,,,,, 1.7 are,,0, Bien neuf
 Mechelbaan 476,Appartement,,235000,,,,,0,,,,,,,,0,
 Vaartstraat 49,Appartement,,235000,,,,,0,,,,,,,,0,
 Rue Fernand Lacroix,Maison,,235000,,,,,0,,,,,, 4.65 ares,,0,
 Steenbakkerstraat 27,Maison,,237000,,,,,0,,,,1, 6 ares, 7.8 ares,,0, Bien neuf
 Steenbakkerstraat 27,Maison,,237000,,,,,0,,,,1, 6 ares, 7.8 ares,,0, Bien neuf
 rotterdamstraat 57,Maison,,239000,,,,,0,,,,,, 0.45 are,,0,
 Rue de la Station d'Acren 75,Maison,,239000,,,,,0,,,,,, 5.37 ares,,0,
 Jozef Cuyversstraat 7,Maison,,239000,,,,,0,,,,1, 0.3 are, 0.94 are,,0,
 Koning Albert II-laan 49,Appartement,,239000,,1,,,0,,,,,,,,0,
 Philippe Spethstraat 94,Maison,,239000,,,,,0,,,,1, 2.03 ares,,,0,
 Rue des Jardins 52,Maison,,239500,,,,,0,,,,,, 0.95 are,,0,
 Rue Fernand Lacroix,Maison,,239500,,,,,0,,,,,, 5.25 ares,,0,
,Maison,,240000,,,,,,,,,,, 7.55 ares,,0,
 Rue du Vieux-Marché 68/03,Appartement,,243500,,,,,0,,,,,,,,0,
 Beukenlaan 4,Maison,,245000,,,,,0,,,,,,,,0,
 Izegemsestraat 12,Appartement,,245000,,,,,0,,,,,,,,0,
 Molenstraat 1,Appartement,,245000,,,,,0,,,,,,,,0,
,Maison,,245000,,,,,,,,,,,,,0,
 Blauwesteen 97,Maison,,245000,,,,,0,,,,,, 1.2 are,,0, Bien neuf
 Kelderstraat  9,Appartement,,245000,,1,,,0,,,,,,,,0,
 Emile Jacqmainlaan 142,Appartement,,245000,,1,,,0,,,,,,,,0,
,Appartement,,247000,,,,,0,,,,,,,,0,
,Appartement,,247000,,,,,0,,,,,,,,0,
 Picardstraat 11,Appartement,,247000,,1,,,0,,,,,,,,0, Bien neuf
,Appartement,,249000,,,,,0,,,,,,,,0,
 Elisabethlaan 318,Appartement,,249000,,,,,0,,,,,,,,0,
 Rue de la Station 63,Maison,,249000,,,,,0,,,,,, 4.9 ares,,0,
 Rue du Delta 145,Maison,,249000,,,,,0,,,,1, 18 ares, 19.37 ares,,0,
 Frankrijklei 160,Appartement,,249500,,,,,0,,,,,,,,0,
 Karel Lodewijk Ledeganckstraat 40,Maison,,249500,,,,,0,,,,,, 1.5 are,,0, Bien neuf
 Karel Lodewijk Ledeganckstraat 40,Maison,,249500,,,,,0,,,,,, 1.5 are,,0, Bien neuf
 Rue de Leumont 42,Maison,,249500,,,,,0,,,,1, 14.57 ares, 15.82 ares,,0,
 Koning Leopold III Plein 15,Appartement,,250000,,,,,0,,,,,,,,0,
 Hilarius Bertolfstraat 93,Maison,,250000,,,,,0,,,,,, 0.8 are,,0,
 Sint-Lievenslaan 116,Immeuble,,250000,,,,,0,,,,,,,,0,
 Vrijheidsstraat 102,Maison,,255000,,,,,0,,,,,,,,0,
 Schijfstraat 39,Maison,,255000,,,,,0,,,,1, 1.5 are, 2.6 ares,,0,
 Hoogmolenwegel 3,Maison,,258000,,,,,0,,,,,, 6.4 ares,,0, Bien neuf
 Spinstersstraat 39,Maison,,258000,,,,,0,,,,,, 0.5 are,,0, Bien neuf
 Molenstraat 2,Maison,,258000,,,,,0,,,,,, 2.76 ares,,0, Rénové
