
locality,home_type,subtype,price,type_of_sale,room,area,equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_land_area,facades,swimming_pool,state_of_building
 Rue de Xhendremael Lot 4,Maison,,269000,,,,,0,,,,1, 6.5 ares, 8.69 ares,,0,
 Rue de Xhendremael Lot 2,Maison,,269000,,,,,0,,,,1, 4.5 ares, 5.42 ares,,0,
 Rue de Xhendremael Lot 1,Maison,,269000,,,,,0,,,,1, 4.5 ares, 6.8 ares,,0,
 Hendrik Consciencestraat 19,Maison,,269000,,,,,0,,,,1, 0.02 are,,,0,
 Pompstraat 3,Maison,,269000,,,,,0,,,,,, 5.57 ares,,0,
 Franslaan 69,Appartement,,269000,,,,,0,,,,,, 0.65 are,,0, Rénové
 Auguste Reyerslaan 34,Appartement,,269000,,,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,269000,,,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,269000,,,,,0,,,,1, 0.39 are,,,0, Bien neuf
 Rue Émile Vandervelde 480,Maison,,269000,,,,,0,,,,,, 4.33 ares,,0,
 Auguste Reyerslaan 34,Appartement,,269000,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,269000,,,,,0,,,,1, 0.39 are,,,0, Bien neuf
,Appartement,,269000,,,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,269000,,,,,0,,,,1, 0.39 are,,,0, Bien neuf
 Rue croix Favresse,Maison,,269400,,,,,0,,,,,, 5.89 ares,,0, Bien neuf
 Graanmarkt 38,Appartement,,269500,,,,,0,,,,,, 20.98 ares,,0, Bien neuf
 Beverenstraat 22,Appartement,,269500,,,,,0,,,,,,,,0, Bien neuf
 Graanmarkt 38,Rez-de-chaussée,,269900,,,,,0,,,,,, 1.77 are,,0, Bien neuf
 Kerkstraat 2.3,Appartement,,270000,,,,,0,,,,,, 1.51 are,,0, Bien neuf
 Kerkstraat 1.1,Appartement,,270000,,,,,0,,,,,, 1.3 are,,0, Bien neuf
 Marius Duchéstraat  176,Appartement,,270000,,,,,0,,,,,, 5.53 ares,,0, Bien neuf
 Holstraat 44,Appartement,,270000,,,,,0,,,,,,,,0,
 Elizabetlaan 280,Appartement,,270000,,1,,,0,,,,,,,,0,
 Fochelstraat 9,Maison,,270000,,,,,0,,,,,,,,0,
 Louisastraat 2a,Appartement,,270000,,,,,0,,,,,,,,0, Bien neuf
 Louisastraat 2A,Appartement,,270000,,,,,0,,,,,,,,0, Bien neuf
 Rue de la Halle aux Filets 14,Maison,,270000,,,,,0,,,,,,,,0,
 Markt 49,Appartement,,270000,,,,,0,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,270000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,270000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,270000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,270000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,270000,,,,,,,,,,,,,0, Bien neuf
 Jozef II straat 27,Appartement,,270000,,,,,0,,,,,,,,0, Bien neuf
 Chemin du Soyeureux,Appartement,,270000,,,,,0,,,,,,,,0,
 Chemin du Soyeureux,Appartement,,270000,,,,,0,,,,,,,,0,
 Allée des Primevères 15,Maison,,270000,,,,,0,,,,,, 9.3 ares,,0,
 Denderstraat 50,Appartement,,270000,,,,,0,,,,,,,,0,
 Rollegemstraat 34,Maison,,270000,,,,,0,,,,,, 2.31 ares,,0, Bien neuf
 Rollegemstraat 34,Maison,,270000,,,,,0,,,,,, 2.31 ares,,0, Bien neuf
 Kerkstraat 66/1.1,Appartement,,270000,,,,,0,,,,,, 1 are,,0, Bien neuf
 Koninginnelaan 43,Appartement,,270000,,,,,0,,,,,,,,0,
 rue Visé Voie  429,Maison,,270000,,,,,0,,,,1, 1 are, 3.21 ares,,0,
 rue Visé Voie  429,Bungalow,,270000,,,,,0,,,,1, 1 are, 3.21 ares,,0,
 Rue César Franck 65,Maison,,270000,,,,,0,,,,,, 0.98 are,,0,
 Rue de l'Arbre Saint-Michel Lot 13,Appartement,,270000,,,,,0,,,,,,,,0,
 Rue de l'Arbre Saint-Michel Lot 13,Appartement,,270000,,,,,0,,,,,,,,0,
 Rue du Mont Falise 28,Maison,,270000,,,,,0,,,,1, 10.85 ares, 12.42 ares,,0,
 Brabantstraat 3 / 0102,Studio,,270000,,,,,0,,,,,, 0.36 are,,0,
 Spinnerijstraat 8,Maison,,270000,,,,,0,,,,,, 1.62 are,,0,
 Markt 49,Maison,,270000,,,,,0,,,,,, 2 ares,,0, Bien neuf
 Markt 49,Appartement,,270000,,,,,0,,,,,, 1.23 are,,0, Bien neuf
 Boulevard Général Wahis 28,Appartement,,270000,,,,,0,,,,,, 39.5 ares,,0,
 Noordburgweg 65,Maison,,270000,,,,,0,,,,1, 4.8 ares, 4.8 ares,,0, Besoin de travaux
 Loksbergenstraat 90,Duplex,,270000,,,,,0,,,,,, 11.01 ares,,0, Bien neuf
 Blankenbergse Steenweg 6,Appartement,,270000,,,,,0,,,,,,,,0, Bien neuf
 Keukeldam 3,Appartement,,270000,,,,,0,,,,,,,,0, Bien neuf
 Holstraat 61,Appartement,,270000,,,,,0,,,,,,,,0, Bien neuf
 Zeedijk 313,Appartement,,270000,,1,,,0,,,,,,,,0, Rénové
 Albert I laan 35,Appartement,,270000,,1,,,0,,,,,, 0.84 are,,0, Bien neuf
 Albert I laan 35,Appartement,,270000,,1,,,0,,,,,, 0.84 are,,0, Bien neuf
 Rue Vieux Martin,Maison,,270900,,,,,0,,,,,, 4.08 ares,,0, Bien neuf
 Van Strijdoncklaan 156,Appartement,,271500,,,,,0,,,,,,,,0, Bien neuf
 Statieplein 6A,Maison,,272000,,,,,0,,,,,,,,0,
 Rue Eugène Branckotte,Maison,,272100,,,,,0,,,,,, 3 ares,,0, Bien neuf
 Van Strijdoncklaan 156,Appartement,,272500,,,,,0,,,,1, 0.25 are,,,0, Bien neuf
 Dorpsstraat  136,Appartement,,272500,,1,,,0,,,,1, 0.27 are, 1.3 are,,0,
 Boterweegschaal 2,Maison,,273000,,,,,0,,,,,,,,0,
 Boterweegschaal 2,Maison,,273000,,,,,0,,,,,,,,0,
 Strijkerstraat 1,Appartement,,273810,,,,,0,,,,,, 1 are,,0, Bien neuf
 Misstraat 59,Duplex,,274000,,,,,0,,,,,,,,0,
 Auguste Reyerslaan 34,Appartement,,274000,,,,,0,,,,,,,,0, Bien neuf
 Avenue du millénaire,Maison,,274400,,,,,0,,,,,, 3.01 ares,,0, Bien neuf
 Rue croix Favresse,Maison,,274400,,,,,0,,,,,, 6.25 ares,,0, Bien neuf
 Rue croix Favresse Lot 67,Maison,,274500,,,,,0,,,,1, 4.6 ares, 5.39 ares,,0, Bien neuf
 Rue Eugène Branckotte,Maison,,274800,,,,,0,,,,,, 3 ares,,0, Bien neuf
 Marius Duchéstraat  176,Appartement,,275000,,,,,0,,,,,, 5.53 ares,,0, Bien neuf
 Albert I laan 101,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Albert I laan 101,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Fabriekstraat 9b,Duplex,,275000,,,,,0,,,,,,,,0,
 De Merodedreef 60,Duplex,,275000,,,,,0,,,,,,,,0,
 Lisbloemlaan 17,Appartement,,275000,,,,,0,,,,,,,,0,
 Leeuwstraat 31,Maison,,275000,,,,,0,,,,,,,,0,
 Gildehof 2,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
,Maison,,275000,,,,,0,,,,,,,,0,
,Appartement,,275000,,,,,0,,,,,,,,0,
 Rue Basse Cour 19,Maison,,275000,,,,,0,,,,,,,,0,
 Van Iseghemlaan 46,Appartement,,275000,,,,,0,,,,,,,,0,
 Rue Basse Cour 19,Immeuble,,275000,,,,,0,,,,,,,,0,
 Nieuwstraat 13,Appartement,,275000,,,,,0,,,,,,,,0,
 kerkstraat 36,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Avenue Wanderpepen 29,Immeuble,,275000,,,,,0,,,,,,,,0,
,Maison,,275000,,,,,0,,,,,,,,0,
 Brouwersstraat 16,Maison,,275000,,,,,,,,,,,,,0,
 Mouchotteplein 24,Appartement,,275000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,275000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,275000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,275000,,,,,,,,,,,,,0, Bien neuf
 Vissersplein 2,Appartement,,275000,,,,,0,,,,,,,,0,
 Grand rue 109,Maison,,275000,,,,,0,,,,,,,,0,
 Rue de la Duchesse 34,Appartement,,275000,,1,,,0,,,,,,,,0,
,Appartement,,275000,,,,,0,,,,,,,,0, Rénové
,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Weststraat 83,Maison,,275000,,,,,0,,,,,,,,0,
 Kursaallaan 47,Appartement,,275000,,,,,0,,,,,, 5.6 ares,,0, Rénové
 Rue Delmotte 33,Maison,,275000,,,,,0,,,,,, 14.74 ares,,0,
 Rue Basse Wez 353,Maison,,275000,,,,,0,,,,,,,,0,
 Rue du Sacré-Coeur 7,Maison,,275000,,,,,0,,,,,, 5 ares,,0,
 Chemin de la Sauvenière 9,Maison,,275000,,,,,0,,,,1, 6 ares, 11.44 ares,,0,
 Rue du Sacré-Coeur 7,Maison,,275000,,,,,0,,,,,, 5 ares,,0,
 Visserij 261,Maison,,275000,,,,,0,,,,,, 2 ares,,0,
 Baron de Maerelaan 36,Immeuble,,275000,,,,,0,,,,,, 1.27 are,,0, Besoin de travaux
 Fort Zevenbergen 62,Maison,,275000,,,,,0,,,,,, 3.18 ares,,0, Besoin de travaux
 Leeuwerikstraat 7,Maison,,275000,,,,,0,,,,,, 4.74 ares,,0, Rénové
 Zeedijk 101,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Zeedijk 101,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Herentalsebaan 681,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Avenue de la Héronnière 98,Appartement,,275000,,,,,0,,,,,,,,0,
 Rue Sartiau 12,Maison,,275000,,,,,0,,,,,, 14.25 ares,,0,
 Kursaallaan 47,Appartement,,275000,,,,,0,,,,,, 5.6 ares,,0, Rénové
 Rode Kruislaan 15,Appartement,,275000,,,,,0,,,,,,,,0,
 Rue du Forgeron 61,Maison,,275000,,,,,0,,,,,, 5.54 ares,,0,
 Zeedijk 313,Appartement,,275000,,1,,,0,,,,,,,,0,
 Holstraat 61,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Zeedijk 313,Appartement,,275000,,1,,,0,,,,,,,,0, Rénové
 Zeedijk 313,Appartement,,275000,,1,,,0,,,,,,,,0, Rénové
 Oostrozebekestraat 194,Maison,,275000,,,,,0,,,,,, 3.81 ares,,0,
 Rue Robert Scott 37,Appartement,,275000,,,,,0,,,,,,,,0,
 Rue Robert Scott 37,Appartement,,275000,,,,,0,,,,1, 0.11 are,,,0,
 Rue Robert Scott 37,Rez-de-chaussée,,275000,,,,,0,,,,1, 0.11 are,,,0,
 Nieuwpoortsesteenweg 403,Appartement,,275000,,,,,,,,,,,,,0,
,Appartement,,275000,,,,,0,,,,,,,,0, Bien neuf
 Avenue du millénaire,Maison,,275100,,,,,0,,,,,, 4.27 ares,,0, Bien neuf
 Herentalsebaan 689,Appartement,,275100,,,,,0,,,,,,,,0, Bien neuf
 Van Strijdoncklaan 162,Appartement,,275200,,,,,0,,,,,,,,0, Bien neuf
 Rue du Delta,Rez-de-chaussée,,275600,,,,,0,,,,,,,,0, Bien neuf
 Rue du Delta,Rez-de-chaussée,,275600,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,275940,,,,,0,,,,,,,,0, Bien neuf
 Aalscholverstraat 69,Appartement,,276000,,,,,0,,,,,,,,0, Bien neuf
 Rue de Xhendremael Lot 3,Maison,,276500,,,,,0,,,,1, 3 ares, 4.6 ares,,0,
 Auguste Reyerslaan 34,Appartement,,277000,,,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,277000,,,,,0,,,,,,,,0, Bien neuf
 Rue Eugène Branckotte,Maison,,277100,,,,,0,,,,,, 3.02 ares,,0, Bien neuf
 Rue Eugène Branckotte,Maison,,277100,,,,,0,,,,,, 3 ares,,0, Bien neuf
 Stationsstraat 95,Appartement,,277279,,,,,0,,,,,,,,0,
 Pieter Deswartelaan 1,Appartement,,277500,,,,,0,,,,,,,,0, Bien neuf
 Herentalsebaan 681,Appartement,,277500,,,,,0,,,,1, 0.25 are,,,0, Bien neuf
 Herentalsebaan 671,Appartement,,277500,,,,,0,,,,,,,,0, Bien neuf
 Stadenstraat 104,Maison,,277500,,,,,0,,,,,, 2.93 ares,,0, Bien neuf
 Van Strijdoncklaan 150,Appartement,,277700,,,,,0,,,,1, 0.25 are,,,0, Bien neuf
 Rue du Centre 99,Maison,,278000,,,,,0,,,,,, 12.2 ares,,0,
,Appartement,,278500,,,,,,,,,,,,,0, Bien neuf
 Rue de la Marka,Appartement,,279000,,,,,0,,,,,,,,0, Bien neuf
 avenue Louis Libert 9,Duplex,,279000,,,,,,,,,,, 5.46 ares,,0,
 Lostraat 131,Maison,,279000,,,,,0,,,,,,,,0,
 Olenseweg 15,Maison,,279000,,,,,0,,,,,,,,0,
 Lombardsijdelaan 128,Maison,,279000,,,,,0,,,,,,,,0,
 Lieremanstraat 79,Maison,,279000,,1,,,0,,,,,,,,0,
 Evergemsesteenweg 129,Appartement,,279000,,,,,0,,,,,,,,0, Bien neuf
 Zeegrasstraat 11,Appartement,,279000,,,,,0,,,,,,,,0,
 Lombardsijdelaan 128,Maison,,279000,,,,,0,,,,,,,,0, Bien neuf
 Astridlaan 233,Maison,,279000,,,,,0,,,,,,,,0,
 Molenstraat 1,Appartement,,279000,,,,,0,,,,,,,,0,
 Nieuwpoortlaan 95,Appartement,,279000,,,,,,,,,,,,,0,
 Vinave du vieux Moulin 20,Maison,,279000,,,,,0,,,,,, 5.35 ares,,0,
 Avenue du Karreveld 60,Appartement,,279000,,,,,0,,,,,, 2.25 ares,,0, Rénové
 Lange Elzenstraat 96,Maison,,279000,,,,,0,,,,,,,,0, Besoin de travaux
 Veldekens 26,Maison,,279000,,,,,0,,,,,, 8.33 ares,,0,
 Pannenstraat  185,Maison,,279000,,,,,0,,,,,,,,0,
 Bedevaartstraat 20,Maison,,279000,,,,,0,,,,,, 2.78 ares,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,279000,,,,,0,,,,,,,,0, Bien neuf
 Vlamingstraat 1,Appartement,,279000,,,,,0,,,,,,,,0,
 Mariakerkelaan 11,Penthouse,,279000,,,,,0,,,,,,,,0,
 Gaversesteenweg 101,Rez-de-chaussée,,279000,,,,,0,,,,,,,,0, Bien neuf
 Gaversesteenweg 101,Rez-de-chaussée,,279000,,,,,0,,,,,,,,0, Bien neuf
 Roterijstraat 70,Maison,,279000,,,,,0,,,,,, 4.01 ares,,0,
 Nieuwpoortlaan 95,Duplex,,279000,,,,,0,,,,,, 2 ares,,0,
 Rue Vieux Martin,Maison,,279400,,,,,0,,,,,, 3.82 ares,,0, Bien neuf
 Grand rue des Bouchers B.1.1.,Appartement,,279430,,,,,0,,,,,,,,0,
,Appartement,,279500,,,,,,,,,,,,,0, Bien neuf
 Avenue Ilya Prigogine 8,Appartement,,279500,,1,,,0,,,,,,,,0, Bien neuf
 Avenue Ilya Prigogine 8,Appartement,,279500,,1,,,0,,,,,,,,0, Bien neuf
 Kloosterstraat 63,Rez-de-chaussée,,279500,,,,,0,,,,1, 0.76 are,,,0, Bien neuf
 Rue Eugène Branckotte,Maison,,279800,,,,,0,,,,,, 3.09 ares,,0, Bien neuf
 Oostrozebekestraat 194,Maison,,279900,,,,,0,,,,,, 3.81 ares,,0, Bien neuf
 Engelsenlaan 21/0401,Appartement,,280000,,,,,0,,,,,, 1.59 are,,0, Bien neuf
 Kerkstraat 0.1,Appartement,,280000,,,,,0,,,,1, 0.4 are, 1.68 are,,0, Bien neuf
 Voogdijstraat 35,Maison,,280000,,,,,0,,,,,,,,0,
 Franchommelaan 114,Appartement,,280000,,,,,,,,,,,,,0,
 chaussée de wavre 1999,Appartement,,280000,,,,,0,,,,,,,,0,
 Van Iseghemlaan 46,Appartement,,280000,,,,,0,,,,,,,,0,
 rue des Marais 12,Maison,,280000,,,,,0,,,,,,,,0,
 Boulevard des Canadiens 30,Maison,,280000,,,,,0,,,,,,,,0,
 Mouchotteplein 24,Appartement,,280000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,280000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,280000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,280000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,280000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,280000,,,,,,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,280000,,,,,,,,,,,,,0, Bien neuf
 Chaussée Freddy Terwagnes 53,Maison,,280000,,,,,0,,,,,, 8 ares,,0,
,Maison,,280000,,,,,,,,,,, 10.59 ares,,0,
 rue de Mont 31,Maison,,280000,,,,,0,,,,,, 3.7 ares,,0, Bien neuf
 Rue des Aveugles 15,Maison,,280000,,,,,0,,,,,, 45 ares,,0, Rénové
 Rue Victor Godbille 9,Maison,,280000,,,,,0,,,,1, 35 ares, 37.32 ares,,0,
 Vredestraat 56,Maison,,280000,,,,,0,,,,,, 1.48 are,,0,
 Ninoofsesteenweg 85,Maison,,280000,,,,,0,,,,,, 5.17 ares,,0,
 Prinsessestraat 184,Appartement,,280000,,,,,0,,,,,,,,0,
 Duinkerkelaan 114,Appartement,,280000,,1,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,280000,,,,,0,,,,,,,,0, Bien neuf
 Rue Trou du Renard 5,Maison,,280000,,,,,0,,,,,, 2.81 ares,,0,
 Astridlaan 3,Appartement,,280000,,,,,0,,,,,,,,0,
 Loksbergenstraat 90,Duplex,,280000,,,,,0,,,,,, 11.01 ares,,0, Bien neuf
 Dienstweg Havengeul 10,Appartement,,280000,,,,,0,,,,,,,,0,
 Rue Eugène Branckotte,Maison,,281100,,,,,0,,,,,, 3.75 ares,,0, Bien neuf
 Pieter Deswartelaan 1,Appartement,,281500,,,,,0,,,,,,,,0, Bien neuf
 Van Strijdoncklaan 156,Appartement,,281500,,,,,0,,,,,,,,0, Bien neuf
 Van Strijdoncklaan 150,Appartement,,281700,,,,,0,,,,,,,,0, Bien neuf
 Rue Vieux Martin,Maison,,281900,,,,,0,,,,,, 4.21 ares,,0, Bien neuf
 Chemin de Chièvres,Villa,,281900,,,,,0,,,,,, 3.71 ares,,0, Bien neuf
 Charlottalei 10,Appartement,,282000,,,,,0,,,,,,,,0, Bien neuf
 Charlottalei 10,Appartement,,282000,,,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,282000,,,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,282000,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,282000,,,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,282000,,,,,0,,,,,,,,0, Bien neuf
 Avenue Ilya Prigogine 8,Appartement,,282500,,1,,,0,,,,,,,,0, Bien neuf
 Avenue Ilya Prigogine 8,Appartement,,282500,,1,,,0,,,,,,,,0, Bien neuf
 Herentalsebaan 689,Appartement,,282500,,,,,0,,,,1, 0.25 are,,,0, Bien neuf
 Stationsstraat,Maison,,282798,,,,,0,,,,,, 2.37 ares,,0,
 Molenstraat lot 19,Maison,,282819,,,,,0,,,,,, 3.35 ares,,0,
 Auguste Reyerslaan 34,Appartement,,283000,,,,,0,,,,,,,,0, Bien neuf
 Kruiswegestraat 16,Maison,,283000,,,,,0,,,,,, 2.88 ares,,0, Bien neuf
 Kiliaanstraat 47,Maison,,284000,,,,,0,,,,,,,,0,
 Berendrechtstraat 10,Maison,,284000,,,,,0,,,,,, 0.66 are,,0,
 Eekhoutstraat 2,Maison,,284000,,,,,0,,,,,, 1.37 are,,0, Bien neuf
 Rue de la Clef 104,Maison,,284500,,,,,0,,,,1, 1.39 are, 3.06 ares,,0,
 Deurnestraat 267/ LOT 3,Maison,,284900,,,,,0,,,,,, 3.5 ares,,0, Bien neuf
 Deurnestraat 267/ LOT 2,Maison,,284900,,,,,0,,,,,, 3.5 ares,,0, Bien neuf
 Valkenbergstraat 67,Villa,,285000,,,,,0,,,,,, 9.1 ares,,0,
 Langehaag 99,Maison,,285000,,,,,0,,,,,, 7 ares,,0,
 Vlaanderenstraat 24,Appartement,,285000,,,,,0,,,,,,,,0,
 Bergstraat 37,Maison,,285000,,,,,0,,,,,,,,0,
,Appartement,,285000,,,,,0,,,,,,,,0,
 Tervennelaan 36,Maison,,285000,,,,,0,,,,,,,,0,
 Evergemsesteenweg 129,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 Lombardsijdelaan 128,Maison,,285000,,,,,0,,,,,,,,0, Bien neuf
 Snellegemsestraat 20,Rez-de-chaussée,,285000,,,,,0,,,,,,,,0,
 Zeelaan 115,Appartement,,285000,,,,,0,,,,,,,,0,
 Snellegemsestraat 20,Rez-de-chaussée,,285000,,,,,0,,,,,,,,0, Bien neuf
 Stuiverstraat 172,Maison,,285000,,,,,0,,,,,,,,0, Bien neuf
 Rue de Chaplis 11,Maison,,285000,,,,,0,,,,,,,,0,
 Lombardsijdelaan 165B,Maison,,285000,,,,,0,,,,,,,,0, Bien neuf
 Van Geertstraat 27,Maison,,285000,,,,,0,,,,,,,,0,
 Charlottalei 10,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 Charlottalei 10,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 Mouchotteplein 24,Appartement,,285000,,,,,,,,,,,,,0, Bien neuf
 Jozef-II-straat 27,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,285000,,,,,,,,,,,,,0, Bien neuf
 Krekelput 8,Maison,,285000,,,,,0,,,,,, 1.1 are,,0,
,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 Niepkerkestraat 64,Maison,,285000,,,,,0,,,,,, 15 ares,,0,
 Meulestedekaai 45,Maison,,285000,,,,,0,,,,,, 0.75 are,,0,
 Dorp 34,Duplex,,285000,,,,,0,,,,,, 10.18 ares,,0, Bien neuf
 Zwarte Nonnenstraat 16,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 Picardstraat 11,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 Avenue Marius Renard 2,Appartement,,285000,,,,,0,,,,,,,,0,
 Felix D'Hoopstraat 94,Maison,,285000,,,,,0,,,,,, 2.3 ares,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 Blankenbergse Steenweg 13B,Loft,,285000,,1,,,0,,,,,,,,0,
 Geraard Mercatorstraat 32,Maison,,285000,,,,,0,,,,,, 0.93 are,,0,
 Boulevard du Midi 105,Appartement,,285000,,,,,0,,,,,,,,0,
 Rue Hubert Debauche 6,Maison,,285000,,,,,0,,,,,, 5.03 ares,,0,
,Appartement,,285000,,,,,0,,,,,,,,0,
 Blankenbergse Steenweg 6,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 Hooiestraat 56,Maison,,285000,,,,,0,,,,,,,,0,
 Rue des Hauts Arbres 16,Villa,,285000,,,,,0,,,,,, 18 ares,,0,
 Picardstraat 11,Appartement,,285000,,,,,0,,,,,,,,0, Bien neuf
 rue de Stockis 40,Maison,,285000,,,,,0,,,,1, 12 ares, 12.3 ares,,0,
 Avenue Ilya Prigogine 8,Rez-de-chaussée,,285500,,,,,0,,,,,,,,0, Bien neuf
 Avenue Ilya Prigogine 8,Rez-de-chaussée,,285500,,,,,0,,,,,,,,0, Bien neuf
 Avenue Ilya Prigogine 8,Appartement,,285500,,,,,0,,,,,,,,0, Bien neuf
 Avenue Ilya Prigogine 8,Appartement,,285500,,,,,0,,,,,,,,0, Bien neuf
 Stedestraat,Maison,,285662,,,,,0,,,,,,,,0,
 Stedestraat,Maison,,285662,,,,,0,,,,,,,,0,
 Rue du Chiroux,Maison,,285900,,,,,0,,,,,, 6.35 ares,,0, Bien neuf
 Zuidkaai 11,Appartement,,286000,,,,,0,,,,,,,,0, Bien neuf
 Auguste Reyerslaan 34,Appartement,,286000,,,,,0,,,,,,,,0, Bien neuf
 Molenstraat lot 19,Maison,,286319,,,,,0,,,,,, 3.35 ares,,0,
 Avenue Ilya Prigogine 8,Rez-de-chaussée,,286500,,1,,,0,,,,1, 0.48 are,,,0, Bien neuf
 Avenue Ilya Prigogine 8,Rez-de-chaussée,,286500,,1,,,0,,,,1, 0.48 are,,,0, Bien neuf
,Duplex,,287000,,,,,0,,,,,,,,0, Bien neuf
 Pierre Sorellaan 27,Appartement,,287000,,,,,0,,,,,, 15.96 ares,,0, Bien neuf
 Rue du Vieux Frêne 3,Appartement,,287000,,,,,0,,,,,,,,0,
 Rue du Vieux Frêne 3,Appartement,,287000,,,,,0,,,,,,,,0,
 Sollevelden 57/67,Appartement,,287400,,,,,0,,,,,,,,0,
 Kinderlaan 41,Appartement,,287500,,1,,,0,,,,,,,,0, Bien neuf
,Appartement,,287500,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,287500,,,,,0,,,,,,,,0, Bien neuf
 Van Strijdoncklaan 162,Appartement,,287700,,,,,0,,,,,,,,0, Bien neuf
,Appartement,,288000,,,,,0,,,,,,,,0,
 Auguste Reyerslaan 34,Appartement,,288000,,,,,0,,,,,,,,0, Bien neuf
,Duplex,,288500,,,,,0,,,,,,,,0,
 Rue Vieux Martin,Maison,,288700,,,,,0,,,,,, 4.75 ares,,0, Bien neuf
 Rue Vieux Martin,Maison,,288900,,,,,0,,,,,, 3.88 ares,,0, Bien neuf
 Lange Rechtestraat 34,Maison,,289000,,,,,0,,,,,, 10.14 ares,,0,
,Appartement,,289000,,,,,,,,,,, 0.04 are,,0,
 Evergemsesteenweg 129,Appartement,,289000,,,,,0,,,,,,,,0, Bien neuf
 Chaussée de Mons 691,Appartement,,289000,,,,,0,,,,,,,,0, Bien neuf
 Nieuwpoortsesteenweg 11,Duplex,,289000,,,,,0,,,,,,,,0,
 Romestraat 2,Maison,,289000,,,,,0,,,,,,,,0,
 Wielingenstraat 1 bus 0602,Appartement,,289000,,,,,0,,,,,,,,0,
 Everaertsstraat 67,Maison,,289000,,,,,0,,,,,,,,0,
 Steenbakkersstraat 108,Duplex,,289000,,,,,,,,,,,,,0,
 Van Iseghemlaan 46,Appartement,,289000,,,,,0,,,,,,,,0,
 Hoogstraat 25,Duplex,,289000,,,,,0,,,,,,,,0,
 Wassegemstraat 34,Maison,,289000,,,,,0,,,,,,,,0,
 Nationalestraat 123,Appartement,,289000,,1,,,0,,,,,,,,0,
 Thier des Trixhes 16,Maison,,289000,,,,,0,,,,1, 0.5 are, 2.86 ares,,0,
 Rièssonsart 39,Maison,,289000,,,,,0,,,,,, 11.25 ares,,0,
 Auguste Reyerslaan 34,Appartement,,289000,,,,,0,,,,,,,,0, Bien neuf
 Dhoorestraat 11,Maison,,289000,,,,,0,,,,,, 1.16 are,,0,
